,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
15,NUDT4,0.9622641509433962,0.9444444444444444,1.0188679245283019,2.3361053466796875,1.6328974962234497,2.0202229022979736,9.761998760723351e-11,1.0,[0]
41,VIM,0.9622641509433962,0.9555555555555556,1.0070206230802983,2.1800928115844727,1.6787818670272827,1.6508840322494507,2.256208862722087e-09,1.0,[0]
40,VTN,0.9622641509433962,0.9222222222222223,1.043418958854285,2.01863431930542,1.4151740074157715,1.8284348249435425,2.240805889165953e-09,1.0,[0]
22,MEST,0.9622641509433962,0.9111111111111111,1.0561435803037276,1.7962636947631836,1.1799062490463257,1.852169156074524,3.682938018989831e-10,1.0,[0]
11,GSN,0.9433962264150944,0.9222222222222223,1.0229597635826324,2.115492105484009,1.4085983037948608,2.0276830196380615,4.823984685358566e-11,1.0,[0]
13,FRZB,0.9433962264150944,0.9,1.0482180293501049,2.1862173080444336,1.3268613815307617,2.3616390228271484,6.343778402501189e-11,1.0,[0]
64,IFI27L1,0.9245283018867925,0.8444444444444444,1.0948361469712016,1.4620065689086914,1.0377812385559082,1.528405785560608,8.399472167231766e-09,1.0,[0]
28,ATF5,0.9245283018867925,0.8,1.1556603773584906,1.4981333017349243,0.8972674608230591,1.8236972093582153,7.074555088570383e-10,1.0,[0]
3,NR2F2,0.9245283018867925,0.7777777777777778,1.1886792452830188,2.2261807918548584,1.0943071842193604,3.101461887359619,3.9711699050526294e-13,1.0,[0]
23,FMO1,0.9245283018867925,0.7666666666666667,1.205906480721903,1.3583099842071533,0.8140721917152405,1.7232942581176758,3.682938018989831e-10,1.0,[0]
9,PMEPA1,0.9245283018867925,0.8555555555555555,1.0806174957118353,1.9991358518600464,1.1317616701126099,2.3806514739990234,4.9293758360155054e-12,1.0,[0]
4,LPAR1,0.9245283018867925,0.7111111111111111,1.3001179245283019,1.7283909320831299,0.8070254325866699,2.5127193927764893,1.0235273014404808e-12,1.0,[0]
20,NNAT,0.9056603773584906,0.7888888888888889,1.148020196651608,1.530998706817627,0.8413956165313721,1.992924451828003,3.0303609358074397e-10,1.0,[0]
17,FYCO1,0.8867924528301887,0.7,1.266846361185984,1.3836790323257446,0.6969628930091858,1.987179160118103,1.764036566341223e-10,1.0,[0]
66,RGCC,0.8867924528301887,0.8444444444444444,1.0501489572989078,1.577170491218567,1.0961713790893555,1.6176897287368774,9.272365049459502e-09,1.0,[0]
