,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
0,Nfib,0.9495327102803738,0.7276995305164319,1.304841724449804,1.6130098104476929,0.8479561805725098,2.1491096019744873,0.002887828078567676,0.0,"[2, 5]"
1,Sox5,0.77196261682243,0.3536776212832551,2.182673062608552,0.9838842153549194,0.3105279207229614,1.960807204246521,0.007351107334186958,0.0,"[2, 5]"
14,Tuba1a,1.0,0.9874843554443054,1.0126742712294043,2.442502737045288,2.1216304302215576,1.3783296346664429,0.0009648903153419494,1.0,"[3, 4]"
0,Sox11,0.9931856899488927,0.8735919899874843,1.1368988055432168,2.1278178691864014,1.2963263988494873,2.2967419624328613,4.2322615091120436e-15,1.0,"[3, 4]"
21,Actb,0.9727427597955707,0.9148936170212766,1.0632304583812051,1.5712311267852783,1.2865744829177856,1.3293055295944214,0.034839246587471215,1.0,"[3, 4]"
12,Nfib,0.9028960817717206,0.7934918648310388,1.1378769232422787,1.3772000074386597,1.0003011226654053,1.4577568769454956,0.00030908328307228353,1.0,"[3, 4]"
3,Basp1,0.868824531516184,0.6533166458072591,1.329867434255615,1.136358618736267,0.7142397165298462,1.5251898765563965,3.5686462700621276e-10,1.0,"[3, 4]"
7,Sox4,0.858603066439523,0.6946182728410513,1.2360790091624845,1.0697989463806152,0.7246906757354736,1.4121428728103638,9.336142454001777e-06,1.0,"[3, 4]"
4,Nnat,0.8466780238500852,0.6570713391739674,1.2885633162975583,1.038899540901184,0.6525475382804871,1.471602439880371,1.6866980986477743e-09,1.0,"[3, 4]"
1,Igfbpl1,0.8296422487223168,0.5156445556946183,1.608942127983328,0.9971174597740173,0.48961934447288513,1.6611299514770508,1.0201442543296836e-13,1.0,"[3, 4]"
13,Tubb3,0.8109028960817717,0.5832290362953693,1.390367841135913,0.9572915434837341,0.616566002368927,1.405967354774475,0.0003138431073331809,1.0,"[3, 4]"
23,Meis2,0.7836456558773425,0.5632040050062578,1.3914063978799927,0.9434651732444763,0.6409004926681519,1.3533251285552979,0.04272680767764391,1.0,"[3, 4]"
6,Dcx,0.7086882453151618,0.47684605757196497,1.4861992336136858,0.7846424579620361,0.4434082508087158,1.4066826105117798,2.184850426736577e-07,1.0,"[3, 4]"
2,Enc1,0.7035775127768313,0.40425531914893614,1.740428584237425,0.732397198677063,0.3530119061470032,1.4613858461380005,5.653634710294205e-12,1.0,"[3, 4]"
10,Nsg2,0.6916524701873935,0.44180225281602004,1.565524996259851,0.707375168800354,0.39719295501708984,1.3636735677719116,0.00017212919004819957,1.0,"[3, 4]"
8,Neurod6,0.6592844974446337,0.3829787234042553,1.721465076660988,0.6691233515739441,0.35261526703834534,1.372327446937561,8.567929270589829e-05,1.0,"[3, 4]"
16,Neurod2,0.6132879045996593,0.37797246558197745,1.6225729661428074,0.6123789548873901,0.32428163290023804,1.3338871002197266,0.0014439631184949102,1.0,"[3, 4]"
6,Map1b,0.9708404802744426,0.9333333333333333,1.0401862288654742,1.852552890777588,1.6670514345169067,1.2038218975067139,3.872928758646061e-05,2.0,"[0, 3, 5]"
4,Stmn2,0.8404802744425386,0.7447619047619047,1.1285221076274496,1.0590859651565552,0.8765444755554199,1.2002639770507812,1.595036059568763e-06,2.0,"[0, 3, 5]"
1,Mapt,0.8319039451114922,0.6466666666666666,1.2864493996569468,0.9924685955047607,0.7474377155303955,1.2776607275009155,8.667736707706417e-14,2.0,"[0, 3, 5]"
3,Gap43,0.6415094339622641,0.47619047619047616,1.3471698113207546,0.6514424681663513,0.45355528593063354,1.218824863433838,1.1139734076520161e-06,2.0,"[0, 3, 5]"
0,Fabp7,0.9647058823529412,0.39182282793867124,2.4620971867007673,1.818260669708252,0.3755857050418854,4.232001304626465,6.6670531653305884e-80,4.0,[1]
58,Hsp90ab1,0.95,0.9063032367972743,1.0482142857142855,1.496909260749817,1.2095481157302856,1.3329055309295654,9.168076925118017e-05,4.0,[1]
54,Hnrnpa2b1,0.9117647058823529,0.7887563884156729,1.1559522297039766,1.217349648475647,0.914852499961853,1.353233814239502,3.852984736828524e-05,4.0,[1]
24,Marcks,0.8794117647058823,0.7103918228279387,1.2379249541543236,1.1305243968963623,0.7534433603286743,1.4580224752426147,1.0151636842311066e-13,4.0,[1]
1,Dbi,0.8764705882352941,0.37137989778534924,2.360037776578521,1.2447509765625,0.3212108612060547,2.5181894302368164,3.3825382181835408e-46,4.0,[1]
17,Gnas,0.8676470588235294,0.6626916524701874,1.3092771813095418,1.0585122108459473,0.6610096096992493,1.4881035089492798,1.4061901406236458e-19,4.0,[1]
108,Rpl4,0.8588235294117647,0.778534923339012,1.1031278156776934,1.1036137342453003,0.8626405596733093,1.272486925125122,0.04359078968249211,4.0,[1]
25,Ctnnb1,0.8323529411764706,0.7035775127768313,1.1830294829796326,1.0954787731170654,0.7285969257354736,1.4432272911071777,3.6275532724669003e-13,4.0,[1]
12,Ccnd2,0.8147058823529412,0.5485519591141397,1.4851936426744612,1.0481717586517334,0.5399329662322998,1.6623609066009521,1.4410679613575812e-22,4.0,[1]
95,mt-Nd1,0.8088235294117647,0.6780238500851788,1.1929130948861957,0.9277459979057312,0.6832597851753235,1.2769650220870972,0.01931976660991622,4.0,[1]
39,Fus,0.8058823529411765,0.6575809199318569,1.2255257543431881,0.9930467009544373,0.6552285552024841,1.4018855094909668,4.797169950105675e-08,4.0,[1]
103,Ywhae,0.7764705882352941,0.6473594548551959,1.1994427244582044,0.8775413632392883,0.649470329284668,1.2561745643615723,0.02911979904526324,4.0,[1]
2,Vim,0.7705882352941177,0.12776831345826234,6.031137254901962,0.8946955800056458,0.09988237917423248,2.2140274047851562,6.878597987492888e-46,4.0,[1]
14,Zbtb20,0.7617647058823529,0.4497444633730835,1.6937722816399285,0.906802237033844,0.4457177221775055,1.585792899131775,2.668368232968751e-21,4.0,[1]
29,Ncl,0.7558823529411764,0.4838160136286201,1.56233429991715,0.8277416825294495,0.46545594930648804,1.4366092681884766,1.3545514337065747e-11,4.0,[1]
4,Ckb,0.7382352941176471,0.23509369676320271,3.1401747655583976,0.7539294362068176,0.18543647229671478,1.7656042575836182,8.282349441929647e-41,4.0,[1]
11,Nedd4,0.711764705882353,0.3100511073253833,2.2956367162249514,0.7448686957359314,0.26501917839050293,1.6158311367034912,9.327949419779159e-23,4.0,[1]
3,Pea15a,0.7,0.2061328790459966,3.3958677685950414,0.8123586177825928,0.16672268509864807,1.907199501991272,5.465560279428919e-45,4.0,[1]
8,Top2a,0.6882352941176471,0.25894378194207834,2.657856037151703,0.7595927715301514,0.2282804250717163,1.701163411140442,4.0415247463442056e-29,4.0,[1]
87,Ybx1,0.6882352941176471,0.5229982964224872,1.3159417512933513,0.7162535786628723,0.47094249725341797,1.278018832206726,0.01177656888886308,4.0,[1]
81,Serbp1,0.6735294117647059,0.4889267461669506,1.3775671244107401,0.7072156071662903,0.44842401146888733,1.2953637838363647,0.003934923483460094,4.0,[1]
16,Tuba1b,0.65,0.33560477001703576,1.936802030456853,0.642448365688324,0.27183395624160767,1.4486244916915894,9.402950110720592e-20,4.0,[1]
7,Sfrp1,0.6441176470588236,0.18739352640545145,3.437245989304813,0.7069063782691956,0.15050166845321655,1.7443896532058716,2.1949119637158876e-31,4.0,[1]
6,Ddah1,0.6088235294117647,0.09369676320272573,6.497807486631015,0.6200518608093262,0.0699603259563446,1.7334115505218506,4.19055899307814e-33,4.0,[1]
0,Ccnd2,1.0,0.2607204116638079,3.835526315789474,3.1368892192840576,0.24464599788188934,18.03371810913086,5.564515150733589e-10,5.0,[2]
12,Map1b,1.0,0.9708404802744426,1.030035335689046,2.5130209922790527,1.852552890777588,1.93569815158844,0.0004845501054467471,5.0,[2]
3,Dynll2,0.8928571428571429,0.4099485420240137,2.1779736999402273,1.150140643119812,0.3357487618923187,2.2578022480010986,5.858336789381921e-06,5.0,[2]
1,Arhgap11a,0.875,0.0548885077186964,15.94140625,1.3420473337173462,0.046049900352954865,3.6546390056610107,5.717925490980675e-07,5.0,[2]
19,Nnat,0.8571428571428571,0.614065180102916,1.39584996009577,1.0029336214065552,0.6107569336891174,1.4801992177963257,0.006491454081751195,5.0,[2]
2,Nes,0.7678571428571429,0.08061749571183534,9.524696048632219,1.0374982357025146,0.06144363433122635,2.6539647579193115,1.5465518225062484e-06,5.0,[2]
10,Ncl,0.7678571428571429,0.42538593481989706,1.8050835253456223,1.0305285453796387,0.38123148679733276,1.9141947031021118,0.0001878055750087928,5.0,[2]
8,Epha5,0.6964285714285714,0.24528301886792453,2.839285714285714,0.8486782312393188,0.2037171870470047,1.9059127569198608,6.975198753726423e-05,5.0,[2]
4,Zeb1,0.6428571428571429,0.0274442538593482,23.424107142857146,0.7433515191078186,0.019022908061742783,2.063345432281494,1.1357048567692341e-05,5.0,[2]
5,Gxylt1,0.6428571428571429,0.03430531732418525,18.739285714285714,0.69790118932724,0.02586507610976696,1.9582204818725586,2.529701391946429e-05,5.0,[2]
9,Zc3h13,0.6428571428571429,0.18524871355060035,3.4702380952380953,0.8687703609466553,0.14962854981422424,2.052670955657959,0.00016372769704252902,5.0,[2]
