,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
105,RPS19,1.0,0.9347826086956522,1.069767441860465,2.2848317623138428,1.5162101984024048,2.1567909717559814,6.404431866774571e-09,1.0,[8]
514,ATP5D,1.0,0.991304347826087,1.0087719298245614,2.394280195236206,1.9565216302871704,1.549230694770813,0.028475336856467758,1.0,[8]
102,COX7B,1.0,0.991304347826087,1.0087719298245614,2.711580514907837,2.028571605682373,1.9798259735107422,4.478008781675736e-09,1.0,[8]
220,ATP1A2,1.0,0.9739130434782609,1.0267857142857142,2.500257730484009,1.79383385181427,2.026730537414551,4.8671249368986034e-05,1.0,[8]
100,ACTG1,1.0,0.991304347826087,1.0087719298245614,2.8115828037261963,2.03501296043396,2.1740024089813232,4.254570725953803e-09,1.0,[8]
222,COX7A2,1.0,0.991304347826087,1.0087719298245614,2.8859033584594727,2.321765422821045,1.7579315900802612,5.756545254626327e-05,1.0,[8]
96,PEBP1,1.0,0.9782608695652174,1.0222222222222221,2.623345136642456,1.8016973733901978,2.2742443084716797,2.073537402904452e-09,1.0,[8]
345,RPSA,1.0,0.9782608695652174,1.0222222222222221,2.3557651042938232,1.8393622636795044,1.675987958908081,0.003250569284607677,1.0,[8]
293,RPS27A,1.0,0.9956521739130435,1.0043668122270741,2.8121860027313232,2.2958624362945557,1.675855040550232,0.0006611808761428436,1.0,[8]
430,RPS3,1.0,0.9695652173913043,1.031390134529148,2.253408670425415,1.758451223373413,1.6404284238815308,0.014581720445360082,1.0,[8]
92,RPS14,1.0,0.9782608695652174,1.0222222222222221,2.5551998615264893,1.8004056215286255,2.127173900604248,1.8631022774433e-09,1.0,[8]
445,ATP5F1,1.0,0.9782608695652174,1.0222222222222221,2.305039882659912,1.8374199867248535,1.5961905717849731,0.01659042168376502,1.0,[8]
228,RPS15,1.0,0.9956521739130435,1.0043668122270741,2.5768585205078125,2.0464696884155273,1.6995930671691895,8.13905312417078e-05,1.0,[8]
229,RPL30,1.0,0.991304347826087,1.0087719298245614,2.4703257083892822,1.9357103109359741,1.7067917585372925,8.376097104145323e-05,1.0,[8]
230,USMG5,1.0,0.9956521739130435,1.0043668122270741,2.7340879440307617,2.1788084506988525,1.742427945137024,8.546082476676069e-05,1.0,[8]
86,ATP1B1,1.0,0.9956521739130435,1.0043668122270741,3.401916027069092,2.563192129135132,2.31341290473938,3.336851102005486e-10,1.0,[8]
84,LDHB,1.0,0.9869565217391304,1.013215859030837,2.8372457027435303,2.007497787475586,2.2927405834198,2.11672670321029e-10,1.0,[8]
231,CHCHD10,1.0,0.9956521739130435,1.0043668122270741,2.600250482559204,2.021158456802368,1.7844176292419434,8.713696269299361e-05,1.0,[8]
80,RPL37,1.0,0.9956521739130435,1.0043668122270741,2.785790205001831,2.1218273639678955,1.9424748420715332,1.4129790964668972e-10,1.0,[8]
232,SMDT1,1.0,0.908695652173913,1.1004784688995215,2.087233304977417,1.4448442459106445,1.9010169506072998,8.854346822701542e-05,1.0,[8]
78,CST3,1.0,0.9956521739130435,1.0043668122270741,3.0663414001464844,2.270387887954712,2.2165534496307373,1.339029285214603e-10,1.0,[8]
77,RPL38,1.0,0.9956521739130435,1.0043668122270741,2.9192376136779785,2.2315585613250732,1.9890934228897095,1.2519589797173742e-10,1.0,[8]
