,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
35,Tuba1a,1.0,0.9881796690307328,1.0119617224880384,2.430600166320801,2.210928201675415,1.2456680536270142,0.00032015208303593076,0.0,"[2, 4]"
0,Sox11,0.9890230515916575,0.8569739952718676,1.1540875884779893,1.9462214708328247,1.2238420248031616,2.0593273639678955,1.657233133586452e-21,0.0,"[2, 4]"
29,Tmsb4x,0.9725576289791438,0.9574468085106383,1.015782412489328,1.7321338653564453,1.5290380716323853,1.2251898050308228,7.921461864307505e-05,0.0,"[2, 4]"
26,Actb,0.9495060373216246,0.8971631205673759,1.0583426977260797,1.4511865377426147,1.2241730690002441,1.2548468112945557,3.940130748257754e-05,0.0,"[2, 4]"
24,Nfib,0.8518111964873765,0.7907801418439716,1.0771782843472653,1.2315422296524048,0.9751347303390503,1.2922792434692383,1.9151050704372938e-05,0.0,"[2, 4]"
7,Basp1,0.8419319429198683,0.6713947990543735,1.2540042670954377,1.0699899196624756,0.7235453724861145,1.4140310287475586,1.0998127342640864e-11,0.0,"[2, 4]"
27,Tcf4,0.8100987925356751,0.682033096926714,1.1877704999743173,1.0633295774459839,0.8169181942939758,1.279425859451294,6.01919490909873e-05,0.0,"[2, 4]"
2,Nnat,0.8079034028540066,0.6028368794326241,1.3401691741460582,0.9446985721588135,0.5820519924163818,1.4371278285980225,1.588262122483045e-17,0.0,"[2, 4]"
20,Sox4,0.8079034028540066,0.6855791962174941,1.1784246186456717,0.9596021771430969,0.7181769609451294,1.2730622291564941,9.899662795072266e-06,0.0,"[2, 4]"
28,Tubb3,0.7914379802414928,0.6323877068557919,1.2515075351108467,0.915839672088623,0.6969956159591675,1.244637131690979,6.01919490909873e-05,0.0,"[2, 4]"
1,Igfbpl1,0.7771679473106476,0.38534278959810875,2.016822341793889,0.8737256526947021,0.3450816869735718,1.6966298818588257,2.9647464441374255e-19,0.0,"[2, 4]"
16,Dcx,0.6849615806805708,0.48699763593380613,1.4064987797469974,0.7207237482070923,0.46441200375556946,1.2921555042266846,7.090155069288013e-07,0.0,"[2, 4]"
22,Tsc22d1,0.6443468715697036,0.4988179669030733,1.2917475197819177,0.657754123210907,0.4324323534965515,1.2527257204055786,1.3296092862255696e-05,0.0,"[2, 4]"
23,Nsg2,0.6344676180021954,0.4657210401891253,1.3623340224108054,0.6302852630615234,0.41341933608055115,1.2421776056289673,1.7998796073061423e-05,0.0,"[2, 4]"
10,Neurod6,0.6300768386388584,0.367612293144208,1.713971078741075,0.6274706125259399,0.3318967819213867,1.3438973426818848,2.112426655338665e-09,0.0,"[2, 4]"
33,Trim2,0.6256860592755215,0.44562647754137114,1.404059432750905,0.6310082674026489,0.43883171677589417,1.2118843793869019,0.00026356216895933075,0.0,"[2, 4]"
6,Neurod2,0.605927552140505,0.3262411347517731,1.8572996706915477,0.5808879137039185,0.2830318212509155,1.3469679355621338,1.0951227044570759e-11,0.0,"[2, 4]"
11,Enc1,0.6026344676180022,0.3546099290780142,1.699429198682766,0.6004552841186523,0.3137888014316559,1.3319798707962036,7.144775720209817e-09,0.0,"[2, 4]"
0,Nfib,0.9654377880184332,0.7538461538461538,1.2806827800244522,1.7112230062484741,0.8879936933517456,2.277843713760376,0.010321460993845061,1.0,"[4, 3, 5]"
1,Sox5,0.7972350230414746,0.3763313609467456,2.1184389763208995,1.0401495695114136,0.35050708055496216,1.9930027723312378,0.013951138733519509,1.0,"[4, 3, 5]"
0,Fabp7,0.9594594594594594,0.31174533479692645,3.0777027027027026,1.769851803779602,0.28019073605537415,4.435592174530029,1.3776703974165226e-66,2.0,[0]
24,Hsp90ab1,0.9486486486486486,0.8485181119648738,1.1180063634138666,1.4836595058441162,1.0705935955047607,1.5114445686340332,8.016490670104705e-13,2.0,[0]
27,Hnrnpa2b1,0.9027027027027027,0.7299670691547749,1.2366348303190409,1.196276307106018,0.7970482110977173,1.490673542022705,1.3583714155936255e-11,2.0,[0]
77,Malat1,0.8864864864864865,0.7694840834248079,1.1520530516250918,1.4153869152069092,1.0486481189727783,1.4430208206176758,0.01150168430120188,2.0,[0]
1,Dbi,0.8729729729729729,0.32491767288693746,2.6867512783053322,1.2128924131393433,0.26992377638816833,2.5675923824310303,1.6942433076589074e-50,2.0,[0]
15,Marcks,0.8675675675675676,0.6158068057080132,1.4088307558895794,1.1136795282363892,0.6133272647857666,1.6493021249771118,2.628625328201466e-19,2.0,[0]
13,Gnas,0.8594594594594595,0.5949506037321625,1.4445896080582428,1.0491156578063965,0.5633062720298767,1.6254901885986328,9.528649607635818e-21,2.0,[0]
18,Ctnnb1,0.827027027027027,0.5784851811196488,1.429642545771578,1.069576382637024,0.5731056928634644,1.6429126262664795,9.616764853854656e-18,2.0,[0]
58,Meis2,0.8216216216216217,0.6388583973655324,1.2860778304077274,1.0736688375473022,0.7143624424934387,1.432335615158081,0.0005983270300819521,2.0,[0]
11,Ccnd2,0.8135135135135135,0.45115257958287597,1.8031893207075689,1.0396137237548828,0.4353528320789337,1.8298990726470947,4.097281774079529e-21,2.0,[0]
78,mt-Nd1,0.8108108108108109,0.6520307354555434,1.2435162435162437,0.9229369759559631,0.6401636004447937,1.326804518699646,0.012325687851270832,2.0,[0]
29,Fus,0.7972972972972973,0.5894621295279913,1.3525844280034223,0.9715505242347717,0.574138343334198,1.487969160079956,8.721443086600053e-09,2.0,[0]
