,genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_dmain,neighbors
9,Camk2n1,1.0,0.9220489977728286,1.0845410628019323,2.3577253818511963,1.7469931840896606,1.8417794704437256,0.012186514939226433,0.0,"[5, 6, 4]"
12,Elmo1,0.9951923076923077,0.9821826280623608,1.0132456828885401,2.3528106212615967,1.9153516292572021,1.5487667322158813,0.019321045408152517,0.0,"[5, 6, 4]"
2,Nrgn,0.9615384615384616,0.734966592427617,1.3082750582750582,1.8000071048736572,0.9742934703826904,2.2835097312927246,0.00013702420047217951,0.0,"[5, 6, 4]"
4,Hpcal4,0.9519230769230769,0.7305122494432071,1.3030898217636022,1.5323693752288818,0.8768728375434875,1.9260985851287842,0.00346373938690461,0.0,"[5, 6, 4]"
11,Zfp637,0.9471153846153846,0.7639198218262806,1.239809934962996,1.5824880599975586,1.0467119216918945,1.7087738513946533,0.013817150890165511,0.0,"[5, 6, 4]"
1,Pcsk2,0.9182692307692307,0.5211581291759465,1.7619781393819856,1.7371610403060913,0.6589255928993225,2.939487934112549,9.321448052194184e-05,0.0,"[5, 6, 4]"
0,Lamp5,0.9134615384615384,0.29398663697104677,3.1071532634032635,1.4997410774230957,0.3134973645210266,3.274757146835327,9.436917855277974e-06,0.0,"[5, 6, 4]"
8,Fkbp1a,0.8413461538461539,0.5167037861915368,1.6282949270557028,1.0450292825698853,0.5094888210296631,1.7083712816238403,0.01153724495494294,0.0,"[5, 6, 4]"
8,Hpcal4,0.9428571428571428,0.7802197802197802,1.208450704225352,1.4482381343841553,1.0162724256515503,1.5402822494506836,5.9213081920144276e-05,1.0,"[2, 5]"
6,Nrgn,0.8857142857142857,0.6813186813186813,1.2999999999999998,1.3263128995895386,0.8200803995132446,1.6590288877487183,3.3216664380943814e-06,1.0,"[2, 5]"
7,Slc17a7,0.8857142857142857,0.6346153846153846,1.3956709956709956,1.3174315690994263,0.7937110066413879,1.6882973909378052,5.1491778099743675e-06,1.0,"[2, 5]"
1,Pcsk2,0.8714285714285714,0.554945054945055,1.5702970297029701,1.3512802124023438,0.6865563988685608,1.943953514099121,1.5087700913837422e-09,1.0,"[2, 5]"
10,Pgm2l1,0.8571428571428571,0.6593406593406593,1.3,1.3417454957962036,0.8870025277137756,1.5757683515548706,6.059161197356972e-05,1.0,"[2, 5]"
2,Arc,0.819047619047619,0.510989010989011,1.6028673835125449,1.0835766792297363,0.5071457624435425,1.7796753644943237,4.319918573099617e-09,1.0,"[2, 5]"
0,Cplx1,0.8418367346938775,0.6191304347826087,1.3597082091263473,1.1692577600479126,0.6062887907028198,1.7558778524398804,4.284867375775133e-05,2.0,"[5, 1, 4]"
0,Mbp,0.9722222222222222,0.36904761904761907,2.6344086021505375,1.9476048946380615,0.3607523441314697,4.888338565826416,8.46727121655308e-17,3.0,[5]
1,Mobp,0.9722222222222222,0.36904761904761907,2.6344086021505375,1.786348819732666,0.35399651527404785,4.188540458679199,9.82804848306992e-14,3.0,[5]
2,Plp1,0.9444444444444444,0.3333333333333333,2.8333333333333335,3.07918643951416,0.5754602551460266,12.227973937988281,3.510941352150546e-12,3.0,[5]
6,Plekhb1,0.8263888888888888,0.625,1.3222222222222222,1.1398179531097412,0.6114540696144104,1.6961548328399658,2.2878417291114571e-10,3.0,[5]
0,Nrsn1,0.9086294416243654,0.5944055944055944,1.5286354135562854,1.2399433851242065,0.6017186045646667,1.8931171894073486,1.3986613067729412e-07,4.0,"[2, 5, 0]"
1,Egr1,0.8578680203045685,0.479020979020979,1.7908777650153767,1.2836154699325562,0.5375421047210693,2.10870361328125,1.6742590996181993e-07,4.0,"[2, 5, 0]"
4,Glul,0.9821428571428571,0.8713355048859935,1.12716955941255,1.766574740409851,1.2566444873809814,1.6651750802993774,5.068321553180807e-22,5.0,"[0, 2, 1]"
8,Bcl6,0.9285714285714286,0.8566775244299675,1.0839217816404128,2.0319137573242188,1.5395145416259766,1.6362370252609253,7.129446261756607e-17,5.0,"[0, 2, 1]"
3,Atp1a2,0.875,0.7214983713355049,1.2127539503386005,1.427729845046997,0.8386724591255188,1.8022886514663696,2.434035412612604e-24,5.0,"[0, 2, 1]"
0,Bsg,0.9166666666666666,0.4228723404255319,2.1677148846960166,1.400445580482483,0.404589980840683,2.7070395946502686,9.72583995174934e-11,6.0,"[0, 5]"
