genes,in_group_fraction,out_group_fraction,in_out_group_ratio,in_group_mean_exp,out_group_mean_exp,fold_change,pvals_adj,target_domain,neighbors
RPS29,1.0,0.9652173913043478,1.0360360360360361,3.0001237392425537,1.7515095472335815,3.485509157180786,1.276331702652889e-22,1,[8]
SPARC,1.0,0.9782608695652174,1.0222222222222221,2.739767074584961,1.5988656282424927,3.1295881271362305,2.190574310903723e-22,1,[8]
SLC6A1,0.9973404255319149,0.8260869565217391,1.207306830907055,2.250671863555908,1.0087076425552368,3.4624078273773193,6.340435813153544e-22,1,[8]
SPARCL1,1.0,0.9652173913043478,1.0360360360360361,3.240619421005249,1.8660597801208496,3.9533352851867676,9.41002887164075e-22,1,[8]
ATP1A3,1.0,0.9521739130434783,1.050228310502283,2.618401288986206,1.524674892425537,2.9853780269622803,1.9041631898771076e-20,1,[8]
GAD1,0.9973404255319149,0.7521739130434782,1.325943918337228,2.311919689178467,0.962436318397522,3.855433225631714,2.7898684565135455e-20,1,[8]
SLC1A3,1.0,0.8869565217391304,1.1274509803921569,2.8724098205566406,1.2543867826461792,5.043110370635986,3.0501390479157946e-20,1,[8]
PCP4,1.0,0.991304347826087,1.0087719298245614,4.061400413513184,2.2943811416625977,5.853379249572754,3.641891514692158e-20,1,[8]
FAM213A,0.9707446808510638,0.5391304347826087,1.8005748112560054,1.6121509075164795,0.5078498125076294,3.0171151161193848,3.755336871282879e-20,1,[8]
PPP1R16B,0.9654255319148937,0.45652173913043476,2.1147416413373863,1.4136937856674194,0.39486125111579895,2.7699592113494873,1.2053842941558212e-19,1,[8]
HBA-A1,0.9973404255319149,0.9,1.1081560283687943,2.9895362854003906,1.3838526010513306,4.981264591217041,3.0586390686564445e-19,1,[8]
CAR8,1.0,0.8782608695652174,1.1386138613861385,3.2548184394836426,1.5171847343444824,5.683877468109131,1.8466175685912802e-18,1,[8]
NSG1,1.0,0.9652173913043478,1.0360360360360361,2.990393877029419,1.6589316129684448,3.786576509475708,2.972823683381136e-18,1,[8]
HOPX,0.9893617021276596,0.6956521739130435,1.4222074468085106,2.200864315032959,0.8098641633987427,4.0188679695129395,3.6962036246069874e-18,1,[8]
HBA-A2,0.9920212765957447,0.8478260869565217,1.170076377523186,2.730942964553833,1.161453366279602,4.804195404052734,1.2189958480920376e-17,1,[8]
CALB1,1.0,0.9,1.1111111111111112,3.122209072113037,1.5139371156692505,4.994174003601074,2.04894443848854e-17,1,[8]
HBB-BT,0.9840425531914894,0.7434782608695653,1.323566007216623,2.317535638809204,0.8852553367614746,4.188238620758057,2.8722200115658706e-17,1,[8]
GABRA1,0.9946808510638298,0.8608695652173913,1.1554373522458627,2.273684501647949,1.1627086400985718,3.037320852279663,6.348679542589439e-16,1,[8]
HOMER3,0.9840425531914894,0.6869565217391305,1.4324670078103958,2.109665632247925,0.7928345203399658,3.7315776348114014,2.1667280053228965e-15,1,[8]
ARHGEF33,0.8856382978723404,0.2565217391304348,3.452488279841327,1.2276201248168945,0.20624017715454102,2.777024269104004,4.423501880639836e-15,1,[8]
RGS8,1.0,0.9608695652173913,1.0407239819004526,2.692453622817993,1.4981448650360107,3.3012750148773193,7.066288730858825e-15,1,[8]
PRKCG,0.976063829787234,0.5391304347826087,1.8104409746053536,1.9710084199905396,0.6022141575813293,3.930608034133911,7.169204652245722e-15,1,[8]
GPR37L1,1.0,0.9260869565217391,1.07981220657277,2.64955735206604,1.4376970529556274,3.3597288131713867,1.3973632161696163e-14,1,[8]
SPTBN2,0.9973404255319149,0.908695652173913,1.097551664460959,2.318781852722168,1.292242407798767,2.7913894653320312,2.0600931605232083e-14,1,[8]
MT-ND4L,0.8856382978723404,0.3130434782608696,2.8291223404255317,1.2485449314117432,0.2564535140991211,2.696868896484375,3.038299491682396e-14,1,[8]
PTPRZ1,0.9601063829787234,0.5347826086956522,1.7953208787407022,1.5737553834915161,0.5045266151428223,2.9131317138671875,5.275120338568478e-14,1,[8]
KIT,0.8643617021276596,0.26956521739130435,3.206503088538092,1.1654983758926392,0.21226754784584045,2.5940773487091064,7.059240480256895e-14,1,[8]
MT-ATP8,0.8643617021276596,0.25217391304347825,3.427641232575202,1.0754398107528687,0.19191046059131622,2.4194235801696777,1.2340678170463075e-13,1,[8]
CAMK2N1,0.9920212765957447,0.8826086956521739,1.1239649931872968,1.9563817977905273,1.1001371145248413,2.3543031215667725,2.1091684065888075e-13,1,[8]
SLC24A2,0.9335106382978723,0.44782608695652176,2.0845383185292294,1.285415530204773,0.38837578892707825,2.4523329734802246,4.413662975645806e-13,1,[8]
GSTM1,0.9893617021276596,0.7782608695652173,1.2712468798288366,2.00878643989563,0.9360967874526978,2.9232311248779297,2.9310375096548418e-12,1,[8]
TIMP4,0.9468085106382979,0.6173913043478261,1.5335630806113276,1.7720264196395874,0.6241647005081177,3.151447057723999,4.0710012793572125e-12,1,[8]
2900097C17RIK,1.0,0.9,1.1111111111111112,2.276801109313965,1.3916661739349365,2.423311233520508,4.98396398556504e-12,1,[8]
YWHAH,1.0,0.991304347826087,1.0087719298245614,3.319866180419922,2.188037872314453,3.101321220397949,5.3106047724096645e-12,1,[8]
INPP5A,0.9946808510638298,0.8956521739130435,1.1105659987605865,2.3994455337524414,1.3190233707427979,2.945923089981079,5.812942187459933e-12,1,[8]
RPL23A,0.9973404255319149,0.9304347826086956,1.0719079339828992,2.2262892723083496,1.4111547470092773,2.259479522705078,6.765664150873978e-12,1,[8]
SLC1A2,1.0,0.9521739130434783,1.050228310502283,2.269660472869873,1.4285420179367065,2.3189592361450195,9.002898567223636e-12,1,[8]
RPL39,1.0,0.9521739130434783,1.050228310502283,2.336839199066162,1.5524520874023438,2.191063642501831,1.4646274816014434e-11,1,[8]
B2M,0.9574468085106383,0.5521739130434783,1.7339587870665103,1.4371826648712158,0.5401634573936462,2.452282428741455,2.1927276717051947e-11,1,[8]
ADGRB1,0.9441489361702128,0.4956521739130435,1.9048618887644644,1.3059847354888916,0.45894622802734375,2.332728385925293,2.7687757370724768e-11,1,[8]
VIM,0.9202127659574468,0.4782608695652174,1.924081237911025,1.5045411586761475,0.4621730148792267,2.8359246253967285,3.7072690161252853e-11,1,[8]
DNER,0.9893617021276596,0.8608695652173913,1.1492585428755642,2.620614528656006,1.2896616458892822,3.7846481800079346,1.3398387061331385e-10,1,[8]
CLEC2L,0.9813829787234043,0.7652173913043478,1.2824891199226305,1.8198801279067993,0.8674807548522949,2.591921329498291,1.6741152854880724e-10,1,[8]
CLSTN3,0.973404255319149,0.8,1.2167553191489362,1.7665772438049316,0.8974246382713318,2.3848891258239746,2.5848410494205533e-10,1,[8]
THY1,0.9867021276595744,0.8782608695652174,1.1234727196123866,2.1282613277435303,1.148241639137268,2.664508581161499,5.469561153413417e-10,1,[8]
CACNG2,0.8829787234042553,0.3826086956521739,2.3077852998065764,1.0821640491485596,0.29767489433288574,2.1912872791290283,5.473005134633558e-10,1,[8]
RORA,0.9441489361702128,0.6260869565217392,1.508015661938534,1.545279860496521,0.6359532475471497,2.4826502799987793,6.34801875219871e-10,1,[8]
SLC24A3,0.8058510638297872,0.23478260869565218,3.4323286052009454,0.9849286675453186,0.17632994055747986,2.244760274887085,8.459890601539278e-10,1,[8]
